letter,start_pos,end_pos,timing,direction,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
A,alpha3,alpha5,split,same,pro,cw,w,n,pro,cw,e,s


α,alpha3,alpha3,none,none,static,no_rot,w,w,static,no_rot,e,e
α,alpha5,alpha5,none,none,static,no_rot,n,n,static,no_rot,s,s
α,alpha1,alpha1,none,none,static,no_rot,s,s,static,no_rot,n,n
α,alpha7,alpha7,none,none,static,no_rot,e,e,static,no_rot,w,w

β,beta3,beta3,none,none,static,no_rot,e,e,static,no_rot,e,e
β,beta5,beta5,none,none,static,no_rot,s,s,static,no_rot,s,s
β,beta1,beta1,none,none,static,no_rot,n,n,static,no_rot,n,n
β,beta7,beta7,none,none,static,no_rot,w,w,static,no_rot,w,w

Γ,gamma11,gamma11,none,none,static,no_rot,s,s,static,no_rot,e,e
Γ,gamma3,gamma3,none,none,static,no_rot,n,n,static,no_rot,e,e
Γ,gamma13,gamma13,none,none,static,no_rot,w,w,static,no_rot,s,s
Γ,gamma5,gamma5,none,none,static,no_rot,e,e,static,no_rot,s,s
Γ,gamma9,gamma9,none,none,static,no_rot,e,e,static,no_rot,n,n
Γ,gamma1,gamma1,none,none,static,no_rot,w,w,static,no_rot,n,n
Γ,gamma15,gamma15,none,none,static,no_rot,n,n,static,no_rot,w,w
Γ,gamma7,gamma7,none,none,static,no_rot,s,s,static,no_rot,w,w

