Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
-------------------------------------------------------------------------------------------------------------------
       532        0.007734        0.000015             0.018237             0.000034 _draw_borders                  views\bordered_pictograph_view.py:91
       532        0.003861        0.000007             0.121176             0.000228 paintEvent                     views\bordered_pictograph_view.py:74
       167        0.002849        0.000017             0.084436             0.000506 paintEvent                     main_background_widget\main_background_widget.py:47
        60        0.001236        0.000021             0.013751             0.000229 paintEvent                     turns_display_frame\adjust_turns_button.py:51
        15        0.001114        0.000074             0.002545             0.000170 resize_beats                   legacy_beat_frame\beat_frame_resizer.py:51
        20        0.000900        0.000045             0.007257             0.000363 paintEvent                     views\GE_pictograph_view.py:80
         7        0.000799        0.000114             0.008297             0.001185 _remove_all_graphics_effects   fade_manager\graphics_effect_remover.py:27
         4        0.000782        0.000195             0.000805             0.000201 __init__                       grid\grid_item.py:12
      1663        0.000769        0.000000             0.002805             0.000002 boundingRect                   tka_glyph\tka_glyph.py:34
        21        0.000542        0.000026             0.000940             0.000045 paintEvent                     legacy_beat_frame\beat_selection_overlay.py:113
        15        0.000537        0.000036             0.001455             0.000097 resize_button_panel            sequence_workbench\sequence_workbench_button_panel.py:247
        84        0.000324        0.000004             0.007130             0.000085 resizeEvent                    styles\styled_button.py:450
       135        0.000285        0.000002             0.000414             0.000003 update_size                    sequence_workbench\workbench_button.py:14
       233        0.000275        0.000001             0.002413             0.000010 resizeEvent                    views\base_pictograph_view.py:37
         6        0.000247        0.000041             0.000892             0.000149 load_number_svg                turns_number_group\turns_number.py:44
        72        0.000237        0.000003             0.000875             0.000012 resize_option_view             views\option_view.py:35
        94        0.000224        0.000002             0.002015             0.000021 resizeEvent                    views\codex_pictograph_view.py:19
        48        0.000211        0.000004             0.004281             0.000089 resizeEvent                    prop_rot_dir_button_manager\prop_rot_dir_button.py:37
        20        0.000198        0.000010             0.001611             0.000081 resizeEvent                    ori_picker_widget\clickable_ori_label.py:67
         2        0.000193        0.000097             0.000228             0.000114 set_letter                     tka_glyph\tka_letter.py:35
        12        0.000186        0.000015             0.012155             0.001013 resizeEvent                    turns_box\turns_box.py:50
         8        0.000184        0.000023             0.000304             0.000038 enterEvent                     views\bordered_pictograph_view.py:139
       144        0.000174        0.000001             0.000304             0.000002 update_border_widths           views\bordered_pictograph_view.py:66
         4        0.000160        0.000040             0.015124             0.003781 resizeEvent                    graph_editor\legacy_graph_editor.py:65
         1        0.000159        0.000159             0.000207             0.000207 disable                        src\profiler.py:16
        72        0.000156        0.000002             0.003087             0.000043 resizeEvent                    views\bordered_pictograph_view.py:133
         3        0.000156        0.000052             0.000235             0.000078 _get_sequence_beat_frame       turns_adjustment_manager\turns_adjustment_manager.py:356
       105        0.000146        0.000001             0.008753             0.000083 update_appearance              styles\styled_button.py:119
        15        0.000143        0.000010             0.000271             0.000018 calculate_dimensions           legacy_beat_frame\beat_frame_resizer.py:27
         2        0.000142        0.000071             0.000522             0.000261 leaveEvent                     scroll\section_type_button.py:97
        20        0.000137        0.000007             0.000181             0.000009 resizeEvent                    ori_picker_widget\ori_text_label.py:19
        15        0.000135        0.000009             0.001629             0.000109 resizeEvent                    sequence_workbench\sequence_workbench_button_panel.py:243
        65        0.000135        0.000002             0.001374             0.000021 resizeEvent                    views\beat_view.py:52
        14        0.000134        0.000010             0.003748             0.000268 setEnabled                     turns_display_frame\adjust_turns_button.py:103
         1        0.000130        0.000130             0.015834             0.015834 on_fade_out_finished           fade_manager\stack_fader.py:28
         2        0.000123        0.000062             0.000149             0.000075 resizeEvent                    widgets\legacy_option_picker.py:57
       105        0.000123        0.000001             0.000123             0.000001 _get_beautiful_context_styles  styles\styled_button.py:152
       990        0.000121        0.000000             0.000180             0.000000 ensure_positive_size           utils\ui_utils.py:13
         3        0.000120        0.000040             0.000156             0.000052 paint                          turns_number_group\turns_number.py:30
         3        0.000119        0.000040             0.002164             0.000721 _log_layout_metrics            scroll\section_widget.py:89
