letter,startPosition,endPosition,timing,direction,blueMotionType,blueRotationDirection,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redStartLocation,redEndLocation
A,alpha3,alpha5,split,same,pro,cw,w,n,pro,cw,e,s
A,alpha5,alpha7,split,same,pro,cw,n,e,pro,cw,s,w
A,alpha7,alpha1,split,same,pro,cw,e,s,pro,cw,w,n
A,alpha1,alpha3,split,same,pro,cw,s,w,pro,cw,n,e
A,alpha7,alpha5,split,same,pro,ccw,e,n,pro,ccw,w,s
A,alpha1,alpha7,split,same,pro,ccw,s,e,pro,ccw,n,w
A,alpha5,alpha3,split,same,pro,ccw,n,w,pro,ccw,s,e
A,alpha3,alpha1,split,same,pro,ccw,w,s,pro,ccw,e,n

B,alpha3,alpha5,split,same,anti,ccw,w,n,anti,ccw,e,s
B,alpha5,alpha7,split,same,anti,ccw,n,e,anti,ccw,s,w
B,alpha7,alpha1,split,same,anti,ccw,e,s,anti,ccw,w,n
B,alpha1,alpha3,split,same,anti,ccw,s,w,anti,ccw,n,e
B,alpha7,alpha5,split,same,anti,cw,e,n,anti,cw,w,s
B,alpha1,alpha7,split,same,anti,cw,s,e,anti,cw,n,w
B,alpha5,alpha3,split,same,anti,cw,n,w,anti,cw,s,e
B,alpha3,alpha1,split,same,anti,cw,w,s,anti,cw,e,n

C,alpha3,alpha5,split,same,anti,ccw,w,n,pro,cw,e,s
C,alpha5,alpha7,split,same,anti,ccw,n,e,pro,cw,s,w
C,alpha7,alpha1,split,same,anti,ccw,e,s,pro,cw,w,n
C,alpha1,alpha3,split,same,anti,ccw,s,w,pro,cw,n,e
C,alpha7,alpha5,split,same,anti,cw,e,n,pro,ccw,w,s
C,alpha1,alpha7,split,same,anti,cw,s,e,pro,ccw,n,w
C,alpha5,alpha3,split,same,anti,cw,n,w,pro,ccw,s,e
C,alpha3,alpha1,split,same,anti,cw,w,s,pro,ccw,e,n

C,alpha3,alpha5,split,same,pro,cw,w,n,anti,ccw,e,s
C,alpha5,alpha7,split,same,pro,cw,n,e,anti,ccw,s,w
C,alpha7,alpha1,split,same,pro,cw,e,s,anti,ccw,w,n
C,alpha1,alpha3,split,same,pro,cw,s,w,anti,ccw,n,e
C,alpha7,alpha5,split,same,pro,ccw,e,n,anti,cw,w,s
C,alpha1,alpha7,split,same,pro,ccw,s,e,anti,cw,n,w
